orderID,customerName,costTotal,employeeID,orderDateTime
1,Customer_1,5.68,4,2025-01-01 12:03:00
2,Customer_2,12.26,1,2025-01-01 16:08:00
3,Customer_3,5.15,3,2025-01-01 11:15:00
4,Customer_4,6.72,1,2025-01-01 11:48:00
5,Customer_5,13.96,8,2025-01-01 12:09:00
6,Customer_6,23.66,1,2025-01-01 19:35:00
7,Customer_7,22.74,4,2025-01-01 17:29:00
8,Customer_8,25.37,7,2025-01-01 16:04:00
9,Customer_9,25.52,7,2025-01-01 13:24:00
10,Customer_10,26.36,4,2025-01-01 19:05:00
11,Customer_11,14.44,3,2025-01-01 19:02:00
12,Customer_12,20.58,3,2025-01-01 18:21:00
13,Customer_13,7.22,4,2025-01-01 20:35:00
14,Customer_14,23.02,5,2025-01-01 12:09:00
15,Customer_15,12.14,3,2025-01-01 16:00:00
16,Customer_16,17.06,1,2025-01-01 11:00:00
17,Customer_17,17.26,6,2025-01-01 11:17:00
18,Customer_18,16.96,1,2025-01-01 12:02:00
19,Customer_19,14.46,3,2025-01-01 14:46:00
20,Customer_20,25.96,3,2025-01-01 18:28:00
21,Customer_21,14.44,1,2025-01-01 10:49:00
22,Customer_22,17.22,4,2025-01-01 21:12:00
23,Customer_23,6.72,5,2025-01-01 19:35:00
24,Customer_24,5.68,7,2025-01-01 13:57:00
25,Customer_25,4.52,5,2025-01-01 13:05:00
26,Customer_26,10.61,4,2025-01-01 20:38:00
27,Customer_27,26.27,4,2025-01-01 15:31:00
28,Customer_28,11.5,6,2025-01-01 17:32:00
29,Customer_29,22.83,6,2025-01-01 13:24:00
30,Customer_30,28.74,1,2025-01-01 10:45:00
31,Customer_31,29.64,8,2025-01-01 13:20:00
32,Customer_32,5.75,3,2025-01-01 14:51:00
33,Customer_33,6.4,5,2025-01-01 18:28:00
34,Customer_34,12.77,7,2025-01-01 13:50:00
35,Customer_35,7.14,6,2025-01-01 11:55:00
36,Customer_36,5.75,8,2025-01-01 19:28:00
37,Customer_37,11.43,7,2025-01-01 12:41:00
38,Customer_38,13.38,7,2025-01-01 17:42:00
39,Customer_39,5.24,7,2025-01-01 20:37:00
40,Customer_40,12.3,8,2025-01-01 16:55:00
41,Customer_41,13.46,3,2025-01-01 15:53:00
42,Customer_42,6.72,6,2025-01-01 16:23:00
43,Customer_43,12.79,6,2025-01-01 21:33:00
44,Customer_44,21.51,7,2025-01-01 13:47:00
45,Customer_45,5.19,6,2025-01-01 16:01:00
46,Customer_46,15.49,5,2025-01-01 12:47:00
47,Customer_47,15.58,5,2025-01-01 19:04:00
48,Customer_48,27.24,5,2025-01-01 19:23:00
49,Customer_49,24.41,6,2025-01-01 14:34:00
50,Customer_50,21.51,5,2025-01-01 17:17:00
51,Customer_51,23.29,5,2025-01-01 15:29:00
52,Customer_52,10.84,6,2025-01-01 21:53:00
53,Customer_53,29.77,2,2025-01-01 21:39:00
54,Customer_54,4.52,1,2025-01-01 17:28:00
55,Customer_55,16.7,4,2025-01-01 20:02:00
56,Customer_56,11.54,8,2025-01-01 11:05:00
57,Customer_57,21.74,6,2025-01-01 19:50:00
58,Customer_58,10.54,3,2025-01-01 10:22:00
59,Customer_59,12.56,1,2025-01-01 17:55:00
60,Customer_60,10.3,6,2025-01-01 20:57:00
61,Customer_61,10.48,2,2025-01-01 17:58:00
62,Customer_62,15.67,4,2025-01-01 21:49:00
63,Customer_63,20.78,8,2025-01-01 12:11:00
64,Customer_64,28.2,8,2025-01-01 15:40:00
65,Customer_65,28.69,2,2025-01-01 13:22:00
66,Customer_66,26.94,1,2025-01-01 14:56:00
67,Customer_67,34.87,4,2025-01-01 20:16:00
68,Customer_68,13.46,2,2025-01-01 11:32:00
69,Customer_69,36.18,4,2025-01-01 20:30:00
70,Customer_70,12.26,8,2025-01-01 21:20:00
71,Customer_71,28.98,2,2025-01-01 12:58:00
72,Customer_72,39.42,5,2025-01-01 19:59:00
73,Customer_73,33.51,5,2025-01-01 13:39:00
74,Customer_74,24.82,5,2025-01-01 18:28:00
75,Customer_75,6.13,8,2025-01-01 20:47:00
76,Customer_76,18.59,6,2025-01-01 21:53:00
77,Customer_77,23.54,1,2025-01-01 21:33:00
78,Customer_78,17.43,7,2025-01-01 20:36:00
79,Customer_79,33.2,4,2025-01-01 13:35:00
80,Customer_80,24.73,2,2025-01-01 17:00:00
81,Customer_81,11.98,5,2025-01-01 17:58:00
82,Customer_82,28.28,8,2025-01-01 19:43:00
83,Customer_83,5.1,7,2025-01-01 21:59:00
84,Customer_84,5.77,3,2025-01-01 14:38:00
85,Customer_85,9.58,2,2025-01-01 13:45:00
86,Customer_86,14.46,7,2025-01-01 15:25:00
87,Customer_87,18.08,2,2025-01-01 10:10:00
88,Customer_88,11.5,5,2025-01-01 21:56:00
89,Customer_89,23.04,5,2025-01-01 13:55:00
90,Customer_90,5.42,4,2025-01-01 20:09:00
91,Customer_91,6.13,8,2025-01-01 12:56:00
92,Customer_92,7.22,8,2025-01-01 14:53:00
93,Customer_93,23.82,8,2025-01-01 21:05:00
94,Customer_94,16.07,5,2025-01-01 21:49:00
95,Customer_95,38.72,4,2025-01-01 19:20:00
96,Customer_96,28.19,4,2025-01-01 18:16:00
97,Customer_97,10.2,3,2025-01-01 17:20:00
98,Customer_98,26.08,8,2025-01-01 11:11:00
99,Customer_99,5.15,5,2025-01-01 17:27:00
100,Customer_100,12.97,5,2025-01-01 18:03:00
101,Customer_101,23.24,7,2025-01-01 17:24:00
102,Customer_102,26.38,7,2025-01-01 16:18:00
103,Customer_103,13.46,8,2025-01-01 15:30:00
104,Customer_104,4.79,8,2025-01-01 14:17:00
105,Customer_105,11.16,8,2025-01-01 13:30:00
106,Customer_106,20.69,4,2025-01-01 18:02:00
107,Customer_107,32.37,1,2025-01-01 14:05:00
108,Customer_108,5.68,2,2025-01-01 19:48:00
109,Customer_109,23.58,5,2025-01-01 14:55:00
110,Customer_110,22.73,1,2025-01-01 10:39:00
111,Customer_111,10.3,4,2025-01-01 14:54:00
112,Customer_112,7.23,1,2025-01-01 12:00:00
113,Customer_113,37.3,1,2025-01-01 21:42:00
114,Customer_114,18.65,7,2025-01-01 19:14:00
115,Customer_115,24.94,4,2025-01-01 17:22:00
116,Customer_116,27.9,7,2025-01-01 16:04:00
117,Customer_117,15.17,7,2025-01-01 19:49:00
118,Customer_118,29.19,1,2025-01-01 16:57:00
119,Customer_119,4.52,8,2025-01-01 11:58:00
120,Customer_120,12.8,1,2025-01-01 12:51:00
121,Customer_121,26.23,8,2025-01-01 20:42:00
122,Customer_122,7.23,6,2025-01-01 10:48:00
123,Customer_123,20.88,3,2025-01-01 16:45:00
124,Customer_124,9.58,3,2025-01-01 18:42:00
125,Customer_125,12.26,7,2025-01-01 20:15:00
126,Customer_126,6.64,4,2025-01-01 18:58:00
127,Customer_127,4.79,1,2025-01-01 11:17:00
128,Customer_128,9.04,5,2025-01-01 12:16:00
129,Customer_129,18.23,4,2025-01-01 18:53:00
130,Customer_130,24.24,8,2025-01-01 16:41:00
131,Customer_131,17.24,4,2025-01-01 13:50:00
132,Customer_132,16.67,4,2025-01-01 17:36:00
133,Customer_133,5.68,2,2025-01-01 18:28:00
134,Customer_134,31.26,5,2025-01-01 17:08:00
135,Customer_135,12.3,2,2025-01-01 14:55:00
136,Customer_136,16.48,1,2025-01-01 13:35:00
