ID,menuID,orderID,quantity,cost
1,6,1,1,5.68
2,17,2,2,6.13
3,16,3,1,5.15
4,7,4,1,6.72
5,18,5,1,6.73
6,15,5,1,7.23
7,6,6,2,5.68
8,4,6,2,6.15
9,19,7,2,5.24
10,17,7,2,6.13
11,5,8,1,5.19
12,7,8,1,6.72
13,18,8,2,6.73
14,7,9,1,6.72
15,9,9,1,4.52
16,20,9,2,7.14
17,20,10,2,7.14
18,12,10,1,6.4
19,6,10,1,5.68
20,8,11,2,7.22
21,5,12,2,5.19
22,10,12,2,5.1
23,8,13,1,7.22
24,7,14,2,6.72
25,2,14,2,4.79
26,3,15,1,5.42
27,7,15,1,6.72
28,19,16,1,5.24
29,12,16,1,6.4
30,3,16,1,5.42
31,15,17,1,7.23
32,2,17,1,4.79
33,19,17,1,5.24
34,3,18,1,5.42
35,11,18,2,5.77
36,15,19,2,7.23
37,14,20,2,5.75
38,15,20,2,7.23
39,8,21,2,7.22
40,11,22,2,5.77
41,6,22,1,5.68
42,7,23,1,6.72
43,6,24,1,5.68
44,9,25,1,4.52
45,3,26,1,5.42
46,5,26,1,5.19
47,17,27,1,6.13
48,15,27,2,7.23
49,6,27,1,5.68
50,14,28,2,5.75
51,3,29,1,5.42
52,16,29,1,5.15
53,17,29,2,6.13
54,15,30,2,7.23
55,20,30,2,7.14
56,2,31,2,4.79
57,12,31,1,6.4
58,1,31,2,6.83
59,14,32,1,5.75
60,12,33,1,6.4
61,17,34,1,6.13
62,13,34,1,6.64
63,20,35,1,7.14
64,14,36,1,5.75
65,2,37,1,4.79
66,13,37,1,6.64
67,4,38,1,6.15
68,15,38,1,7.23
69,19,39,1,5.24
70,4,40,2,6.15
71,18,41,2,6.73
72,7,42,1,6.72
73,4,43,1,6.15
74,13,43,1,6.64
75,20,44,2,7.14
76,15,44,1,7.23
77,5,45,1,5.19
78,5,46,1,5.19
79,16,46,2,5.15
80,16,47,1,5.15
81,19,47,1,5.24
82,5,47,1,5.19
83,12,48,2,6.4
84,8,48,2,7.22
85,12,49,1,6.4
86,14,49,1,5.75
87,17,49,2,6.13
88,15,50,1,7.23
89,20,50,2,7.14
90,2,51,1,4.79
91,20,51,1,7.14
92,6,51,2,5.68
93,3,52,2,5.42
94,2,53,1,4.79
95,11,53,2,5.77
96,7,53,2,6.72
97,9,54,1,4.52
98,16,55,1,5.15
99,17,55,1,6.13
100,3,55,1,5.42
101,11,56,2,5.77
102,5,57,2,5.19
103,6,57,2,5.68
104,2,58,1,4.79
105,14,58,1,5.75
106,3,59,1,5.42
107,20,59,1,7.14
108,16,60,2,5.15
109,19,61,2,5.24
110,5,62,1,5.19
111,19,62,2,5.24
112,19,63,2,5.24
113,16,63,2,5.15
114,16,64,2,5.15
115,12,64,2,6.4
116,10,64,1,5.1
117,5,65,1,5.19
118,15,65,2,7.23
119,9,65,2,4.52
120,9,66,2,4.52
121,12,66,2,6.4
122,10,66,1,5.1
123,20,67,2,7.14
124,17,67,1,6.13
125,15,67,2,7.23
126,18,68,2,6.73
127,17,69,2,6.13
128,19,69,2,5.24
129,7,69,2,6.72
130,17,70,2,6.13
131,20,71,1,7.14
132,16,71,2,5.15
133,11,71,2,5.77
134,14,72,2,5.75
135,18,72,2,6.73
136,15,72,2,7.23
137,15,73,2,7.23
138,11,73,1,5.77
139,13,73,2,6.64
140,13,74,2,6.64
141,11,74,2,5.77
142,17,75,1,6.13
143,6,76,2,5.68
144,15,76,1,7.23
145,4,77,2,6.15
146,9,77,1,4.52
147,7,77,1,6.72
148,10,78,2,5.1
149,15,78,1,7.23
150,8,79,2,7.22
151,1,79,2,6.83
152,10,79,1,5.1
153,12,80,2,6.4
154,2,80,1,4.79
155,20,80,1,7.14
156,16,81,1,5.15
157,1,81,1,6.83
158,6,82,1,5.68
159,4,82,2,6.15
160,16,82,2,5.15
161,10,83,1,5.1
162,11,84,1,5.77
163,2,85,2,4.79
164,15,86,2,7.23
165,7,87,1,6.72
166,6,87,2,5.68
167,14,88,2,5.75
168,18,89,2,6.73
169,2,89,2,4.79
170,3,90,1,5.42
171,17,91,1,6.13
172,8,92,1,7.22
173,7,93,2,6.72
174,5,93,2,5.19
175,16,94,2,5.15
176,11,94,1,5.77
177,1,95,2,6.83
178,12,95,2,6.4
179,17,95,2,6.13
180,2,96,2,4.79
181,18,96,2,6.73
182,16,96,1,5.15
183,10,97,2,5.1
184,6,98,2,5.68
185,10,98,2,5.1
186,9,98,1,4.52
187,16,99,1,5.15
188,8,100,1,7.22
189,14,100,1,5.75
190,2,101,2,4.79
191,1,101,2,6.83
192,16,102,2,5.15
193,19,102,1,5.24
194,3,102,2,5.42
195,18,103,2,6.73
196,2,104,1,4.79
197,9,105,1,4.52
198,13,105,1,6.64
199,15,106,1,7.23
200,18,106,2,6.73
201,12,107,2,6.4
202,7,107,2,6.72
203,17,107,1,6.13
204,6,108,1,5.68
205,13,109,2,6.64
206,16,109,2,5.15
207,14,110,2,5.75
208,10,110,1,5.1
209,17,110,1,6.13
